Org,Site ID,Name in EC,Latitude,Longitude,Watercourse (if known),"Catchment (or ""tbc"")"
CPRE,CPRE069,CPRE069: Hackley Brook at Green Lane Bridge,52.187439,-2.538409,Hackley Brook,Frome - source to conf Tedstone Bk
CPRE,CPRE070,CPRE070: River Frome at Rowden Mill,52.206438,-2.54339,Frome,Frome - source to conf Tedstone Bk
CPRE,CPRE071,CPRE071: River Frome at Butterley Mill,52.220368,-2.547549,Frome,Frome - source to conf Tedstone Bk
CPRE,CPRE080,CPRE080: Tedstone Brook at Buckenhill Manor,52.210983,-2.486509,Tedstone Brook,Tedstone Bk - source to conf R Frome
CPRE,CPRE081,CPRE081: Tedstone Brook at Stoney Bridge,52.232704,-2.485425,Tedstone Brook,Tedstone Bk - source to conf R Frome
CPRE,CPRE090,CPRE090: Pentaloe Brook at Mordiford opposite Moon Inn,52.032697,-2.625888,Pentaloe Brook,Pentaloe Bk - source to conf R Wye
CPRE,CPRE093,CPRE093: River Frome at canon bridge on A417 south of stretton Grandison,52.087517,-2.53554,Frome,Frome - conf Tedstone Bk to conf R Lugg
CPRE,CPRE094,CPRE094: River Frome at Canons Frome Court Footbridge,52.089693,-2.522407,Frome,Frome - conf Tedstone Bk to conf R Lugg
CPRE,CPRE100,CPRE100: Leabrink a,52.001797,-2.620175,Wye,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE101,CPRE101: Leabrink b,52.00376,-2.619549,Wye,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE102,CPRE102: Brook at Ferry Lane Footpath,52.005785,-2.61691,Misc,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE103,"CPRE103: Mill Farm Barn, Fownhope",52.010765,-2.622337,Misc,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE107,CPRE107: Rise Farm Stream,51.996009,-2.605796,Misc,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE109,CPRE109: Capler Cottages brook,51.991829,-2.608576,Misc,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE110,CPRE110: Llangarron Bridge,51.886452,-2.682275,Garren,Garren Bk - conf Gamber Bk to conf R Wye
CPRE,CPRE111,CPRE111: Garren at Little Terteece,51.881878,-2.685973,Garren,Garren Bk - conf Gamber Bk to conf R Wye
CPRE,CPRE112,CPRE112: Garren at Stoney Bridge,51.877378,-2.668044,Garren,Garren Bk - conf Gamber Bk to conf R Wye
